scenario,scenario_group,protocol,node_count,area_size,initial_energy,rounds_completed,fnd,hnd,lnd,average_residual_energy,packet_delivery_ratio,end_to_end_delay,throughput_bits_per_round,average_aoi,hazardous_event_delivery_success_rate,total_generated_packets,total_delivered_packets
sensitivity_nodes_24,sensitivity,standard_leach,24,100.0,0.09,246,124,144,246,0.026870433468195856,0.979092159559835,1.6577690362461366,57869.918699186994,20.54183604336043,1.0,3635,3559
sensitivity_nodes_24,sensitivity,energy_aware_leach,24,100.0,0.09,260,65,124,260,0.027205439698754292,0.9636560889612151,1.6684491978609626,54661.53846153846,29.532371794871796,1.0,3687,3553
sensitivity_nodes_24,sensitivity,predictive_pollution_aware_leach,24,100.0,0.09,260,260,260,260,0.06462633918268856,1.0,1.0,68753.84615384616,0.610897435897436,1.0,4469,4469
sensitivity_nodes_48,sensitivity,standard_leach,48,100.0,0.09,184,83,146,184,0.03394391483757055,0.9657252132980289,1.70982482863671,142717.39130434784,6.781702898550725,1.0,6798,6565
sensitivity_nodes_48,sensitivity,energy_aware_leach,48,100.0,0.09,258,65,117,258,0.02604535100774308,0.9657302544491837,1.745659457812976,101798.4496124031,33.473837209302324,1.0,6799,6566
sensitivity_nodes_48,sensitivity,predictive_pollution_aware_leach,48,100.0,0.09,260,260,260,260,0.06340273543451797,1.0,1.0066429418742586,129692.30769230769,0.700801282051282,1.0,8430,8430
sensitivity_area_140,sensitivity,standard_leach,36,140.0,0.09,217,71,122,217,0.02600427395413313,0.9713467048710601,1.6684819605173586,81235.02304147465,21.587557603686637,0.9667235494880546,4537,4407
sensitivity_area_140,sensitivity,energy_aware_leach,36,140.0,0.09,203,57,116,203,0.028762034758477165,0.9626168224299065,1.7117429496070273,85241.37931034483,19.60591133004926,0.9647058823529412,4494,4326
sensitivity_area_140,sensitivity,predictive_pollution_aware_leach,36,140.0,0.09,260,152,260,260,0.04541820180953882,0.9981534910559723,1.004856052722858,133061.53846153847,2.2980769230769234,0.9995539696699376,8665,8649
sensitivity_energy_12,sensitivity,standard_leach,36,100.0,0.12,260,141,196,260,0.04468133901980683,0.9838101884159107,1.6264718399773017,108446.15384615384,9.204273504273505,0.962683604605002,7165,7049
sensitivity_energy_12,sensitivity,energy_aware_leach,36,100.0,0.12,260,97,183,260,0.04557725661545406,0.9729089563286455,1.6845709068776629,101107.69230769231,16.02190170940171,0.9615888258402444,6755,6572
sensitivity_energy_12,sensitivity,predictive_pollution_aware_leach,36,100.0,0.12,260,260,260,260,0.08021062885995141,1.0,1.0354048561343459,143830.76923076922,0.0017094017094017094,1.0,9349,9349
